   1    5   9.954360707907e-02
   2    5   1.572916743784e+00
   3    5   1.753613250297e+00
   4    5   1.635544170049e+00
   1    8   2.473883330994e-02
   2    8   1.620378317709e+00
   3    8   2.059916559651e+00
   4    8   2.421868085912e+00
   1   11   1.593529174105e-03
   2   11   6.367194810703e-01
   3   11   9.398100567709e-01
   4   11   3.482118090730e+00
   5   14   1.890070496322e+00
   8   14   1.654815161869e+00
  11   14   3.776516701992e-01
   6   15   1.091232709839e+00
   9   15   9.554079791643e-01
  12   15   2.180372934494e-01
   7   16   1.091232709839e+00
  10   16   9.554079791643e-01
  13   16   2.180372934494e-01
   5   17   6.300234987740e-01
   8   17   5.516050539564e-01
  11   17   1.258838900664e-01
   5   19   6.300234987740e-01
   8   19   5.516050539564e-01
  11   19   1.258838900664e-01
   5   20   2.357978278548e+00
   8   20   3.479466206668e+00
  11   20   2.128001505266e+00
   6   21   1.361379393863e+00
   9   21   2.008870751056e+00
  12   21   1.228602241901e+00
   7   22   1.361379393863e+00
  10   22   2.008870751056e+00
  13   22   1.228602241901e+00
   5   23   7.859927595159e-01
   8   23   1.159822068889e+00
  11   23   7.093338350886e-01
   5   25   7.859927595159e-01
   8   25   1.159822068889e+00
  11   25   7.093338350886e-01
